CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also
CVE-2022-10056,2.8,Medium,192.168.1.12,TCP,443,Vulnerability A,Synopsis A,Description A,Solution A,http://example.com/CVE-2022-10056
CVE-2022-10018,4.4,Low,192.168.1.31,UDP,3306,Vulnerability B,Synopsis B,Description B,Solution B,http://example.com/CVE-2022-10018
CVE-2022-10009,3.7,Low,192.168.1.36,UDP,3306,Vulnerability C,Synopsis C,Description C,Solution C,http://example.com/CVE-2022-10009
CVE-2022-10012,5.2,Critical,192.168.1.28,UDP,8080,Vulnerability D,Synopsis D,Description D,Solution D,http://example.com/CVE-2022-10012
CVE-2022-10080,7.9,High,192.168.1.25,TCP,80,Vulnerability E,Synopsis E,Description E,Solution E,http://example.com/CVE-2022-10080
CVE-2022-10004,3.1,Medium,192.168.1.50,UDP,443,Vulnerability F,Synopsis F,Description F,Solution F,http://example.com/CVE-2022-10004
CVE-2022-10013,5.1,Low,192.168.1.51,TCP,3306,Vulnerability G,Synopsis G,Description G,Solution G,http://example.com/CVE-2022-10013
CVE-2022-10013,2.8,Low,192.168.1.38,TCP,8080,Vulnerability H,Synopsis H,Description H,Solution H,http://example.com/CVE-2022-10013
CVE-2022-10097,9.3,Medium,192.168.1.50,UDP,80,Vulnerability I,Synopsis I,Description I,Solution I,http://example.com/CVE-2022-10097
CVE-2022-10008,9.7,High,192.168.1.56,UDP,443,Vulnerability J,Synopsis J,Description J,Solution J,http://example.com/CVE-2022-10008
CVE-2022-10079,7.9,Low,192.168.1.16,UDP,3306,Vulnerability K,Synopsis K,Description K,Solution K,http://example.com/CVE-2022-10079
CVE-2022-10008,5.5,High,192.168.1.54,TCP,8080,Vulnerability L,Synopsis L,Description L,Solution L,http://example.com/CVE-2022-10008
CVE-2022-10089,4.9,Low,192.168.1.44,TCP,22,Vulnerability M,Synopsis M,Description M,Solution M,http://example.com/CVE-2022-10089
CVE-2022-10087,6.5,Medium,192.168.1.54,TCP,80,Vulnerability N,Synopsis N,Description N,Solution N,http://example.com/CVE-2022-10087
CVE-2022-10052,6.5,Critical,192.168.1.24,TCP,443,Vulnerability O,Synopsis O,Description O,Solution O,http://example.com/CVE-2022-10052
CVE-2022-10032,2.3,High,192.168.1.13,UDP,3306,Vulnerability P,Synopsis P,Description P,Solution P,http://example.com/CVE-2022-10032
CVE-2022-10071,2.7,Critical,192.168.1.49,UDP,22,Vulnerability Q,Synopsis Q,Description Q,Solution Q,http://example.com/CVE-2022-10071
CVE-2022-10014,4.7,Critical,192.168.1.23,TCP,80,Vulnerability R,Synopsis R,Description R,Solution R,http://example.com/CVE-2022-10014
CVE-2022-10044,4.3,Medium,192.168.1.54,TCP,443,Vulnerability S,Synopsis S,Description S,Solution S,http://example.com/CVE-2022-10044
CVE-2022-10067,7.8,High,192.168.1.58,UDP,443,Vulnerability T,Synopsis T,Description T,Solution T,http://example.com/CVE-2022-10067
CVE-2022-10044,8.5,Low,192.168.1.27,UDP,22,Vulnerability U,Synopsis U,Description U,Solution U,http://example.com/CVE-2022-10044
CVE-2022-10025,4.0,High,192.168.1.34,TCP,3306,Vulnerability V,Synopsis V,Description V,Solution V,http://example.com/CVE-2022-10025
CVE-2022-10014,8.4,Critical,192.168.1.52,TCP,22,Vulnerability W,Synopsis W,Description W,Solution W,http://example.com/CVE-2022-10014
CVE-2022-10029,9.3,Medium,192.168.1.57,UDP,3306,Vulnerability X,Synopsis X,Description X,Solution X,http://example.com/CVE-2022-10029
CVE-2022-10007,4.7,Medium,192.168.1.23,TCP,22,Vulnerability Y,Synopsis Y,Description Y,Solution Y,http://example.com/CVE-2022-10007
CVE-2022-10076,9.7,Critical,192.168.1.43,TCP,8080,Vulnerability Z,Synopsis Z,Description Z,Solution Z,http://example.com/CVE-2022-10076
CVE-2022-10024,5.4,Medium,192.168.1.50,UDP,22,Vulnerability A,Synopsis A,Description A,Solution A,http://example.com/CVE-2022-10024
CVE-2022-10074,9.3,Medium,192.168.1.24,TCP,8080,Vulnerability B,Synopsis B,Description B,Solution B,http://example.com/CVE-2022-10074
CVE-2022-10020,4.2,Critical,192.168.1.19,TCP,3306,Vulnerability C,Synopsis C,Description C,Solution C,http://example.com/CVE-2022-10020
CVE-2022-10086,6.4,Medium,192.168.1.40,TCP,22,Vulnerability D,Synopsis D,Description D,Solution D,http://example.com/CVE-2022-10086
CVE-2022-10068,5.0,Low,192.168.1.38,TCP,22,Vulnerability E,Synopsis E,Description E,Solution E,http://example.com/CVE-2022-10068
CVE-2022-10010,6.3,Medium,192.168.1.49,UDP,8080,Vulnerability F,Synopsis F,Description F,Solution F,http://example.com/CVE-2022-10010
CVE-2022-10080,5.5,Critical,192.168.1.59,UDP,22,Vulnerability G,Synopsis G,Description G,Solution G,http://example.com/CVE-2022-10080
CVE-2022-10083,2.3,Medium,192.168.1.50,UDP,22,Vulnerability H,Synopsis H,Description H,Solution H,http://example.com/CVE-2022-10083
CVE-2022-10039,8.1,Medium,192.168.1.48,UDP,80,Vulnerability I,Synopsis I,Description I,Solution I,http://example.com/CVE-2022-10039
CVE-2022-10041,6.9,High,192.168.1.46,TCP,3306,Vulnerability J,Synopsis J,Description J,Solution J,http://example.com/CVE-2022-10041
CVE-2022-10084,6.9,Medium,192.168.1.10,TCP,22,Vulnerability K,Synopsis K,Description K,Solution K,http://example.com/CVE-2022-10084
CVE-2022-10085,2.7,Critical,192.168.1.38,UDP,80,Vulnerability L,Synopsis L,Description L,Solution L,http://example.com/CVE-2022-10085
CVE-2022-10033,5.7,Low,192.168.1.19,UDP,80,Vulnerability M,Synopsis M,Description M,Solution M,http://example.com/CVE-2022-10033
CVE-2022-10095,4.2,High,192.168.1.50,UDP,3306,Vulnerability N,Synopsis N,Description N,Solution N,http://example.com/CVE-2022-10095
CVE-2022-10092,3.3,Medium,192.168.1.10,TCP,443,Vulnerability O,Synopsis O,Description O,Solution O,http://example.com/CVE-2022-10092
CVE-2022-10025,7.6,High,192.168.1.28,UDP,3306,Vulnerability P,Synopsis P,Description P,Solution P,http://example.com/CVE-2022-10025
CVE-2022-10038,4.5,Medium,192.168.1.59,UDP,22,Vulnerability Q,Synopsis Q,Description Q,Solution Q,http://example.com/CVE-2022-10038
CVE-2022-10077,3.1,Low,192.168.1.47,UDP,443,Vulnerability R,Synopsis R,Description R,Solution R,http://example.com/CVE-2022-10077
CVE-2022-10090,7.4,Critical,192.168.1.14,UDP,80,Vulnerability S,Synopsis S,Description S,Solution S,http://example.com/CVE-2022-10090
